,Latitude,Longitude
01MCO,31.54722222222222,-7.6722222222222225
02MCO,31.54722222222222,-7.6722222222222225
03MCO,31.54722222222222,-7.6722222222222225
04MCO,31.54722222222222,-7.6722222222222225
05MCO,31.54722222222222,-7.6722222222222225
06MCO,31.54722222222222,-7.6722222222222225
07MCO,31.54722222222222,-7.6722222222222225
08MCO,31.54722222222222,-7.6722222222222225
09MCO,31.54722222222222,-7.6722222222222225
10MCO,31.54722222222222,-7.6722222222222225
11MCO,31.54722222222222,-7.6722222222222225
12MCO,31.54722222222222,-7.6722222222222225
13MCO,31.54722222222222,-7.6722222222222225
14MCO,31.54722222222222,-7.6722222222222225
15MCO,31.54722222222222,-7.6722222222222225
16MCO,31.54722222222222,-7.6722222222222225
A,31.54722222222222,-7.6722222222222225
Ar,31.54722222222222,-7.6722222222222225
BH20,31.54722222222222,-7.6722222222222225
HAJ,31.54722222222222,-7.6722222222222225
L2,31.54722222222222,-7.6722222222222225
L3,31.54722222222222,-7.6722222222222225
M1,31.54722222222222,-7.6722222222222225
M2,31.54722222222222,-7.6722222222222225
MR24-006,31.54722222222222,-7.6722222222222225
MR24-008,31.54722222222222,-7.6722222222222225
MR24-009,31.54722222222222,-7.6722222222222225
MR24-017,31.54722222222222,-7.6722222222222225
MR24-020,31.54722222222222,-7.6722222222222225
MR24-023,31.54722222222222,-7.6722222222222225
Mi39T,31.54722222222222,-7.6722222222222225
Mi40T,31.54722222222222,-7.6722222222222225
Mi48T,31.54722222222222,-7.6722222222222225
Mi49T,31.54722222222222,-7.6722222222222225
Mi63T,31.54722222222222,-7.6722222222222225
NEV24-001,31.54722222222222,-7.6722222222222225
NEV24-002,31.54722222222222,-7.6722222222222225
NEV24-003,31.54722222222222,-7.6722222222222225
S,31.54722222222222,-7.6722222222222225
