Sample,Region,Subregion,Source,Latitude (DD),Longitude (DD),Rock Type,Period,Age (Ma),Error (Ma),Lower Error (Ma),Error Type,System,Material,Technique,DOI,Data Available,Notes,,,UTM 29N Easting,UTM 29N Northing,Latitude (D),Latitude (M),Latitude (S),Longitude (D),Longitude (M),Longitude (S)
AC-1 Rim,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Triassic,235,4,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
AC-1 Core 1,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Permian,291,3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
AC-1 Core 2,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Carboniferous,328,3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
AC-3,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Permian,293,3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
C-1G,Western Meseta,Jebilet,Dostal et al. (2005),31.8,-8.19,Lamprophyre Xenolith,Permian,285,3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
C-6,Western Meseta,Jebilet,Dostal et al. (2005),31.8,-8.19,Lamprophyre Xenolith,Permian,280,7,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
DC-39,Western Meseta,Jebilet,Dostal et al. (2005),31.8,-8.19,Lamprophyre Xenolith,Permian,292,11,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
DC-44,Western Meseta,Jebilet,Dostal et al. (2005),31.8,-8.19,Lamprophyre Xenolith,Carboniferous,300,4,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
AC-4,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Permian,292,6,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
AC-9,Western Meseta,Jebilet,Dostal et al. (2005),31.78,-8.22,Lamprophyre Xenolith,Permian,288,6,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1017/S0016756805000440,PDF Table,,,,,,,,,,,
KS-LA1,Anti-Atlas,Eastern,Najih et al. (2019),31.021,-3.942,Biotite Gabbro,Permian,264.2,2.7,,,Ar-Ar,Biotite,Plateau,https://doi.org/10.1016/j.jog.2019.101670,Figures Only,,,,,,,,,,,
L-2 U-Pb,Anti-Atlas,Eastern,Najih et al. (2019),31.021,-3.937,Kaersutite,Permian,255,3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1016/j.jog.2019.101670,Figures Only,,,,,,,,,,,
L-2 Ar-Ar,Anti-Atlas,Eastern,Najih et al. (2019),31.021,-3.937,Kaersutite,Permian,259,6.3,,,Ar-Ar,Biotite,Plateau,https://doi.org/10.1016/j.jog.2019.101670,Figures Only,,,,,,,,,,,
KS-TA69,Anti-Atlas,Eastern,Najih et al. (2019),31.029,-3.923,Biotite Gabbro,Permian,262.6,4.5,,,Ar-Ar,Biotite,Plateau,https://doi.org/10.1016/j.jog.2019.101670,Figures Only,,,,,,,,,,,
YJ 14,Western Meseta,Jebilet,Youbi et al. (2001),31.813,-8.162,Microdiorite,Triassic,202,4,,,K-Ar,Whole Rock,Total,https://doi.org/10.1016/S1251-8050(01)01643-3,PDF Table,,,,,,,,,,,
YJ 25,Western Meseta,Jebilet,Youbi et al. (2001),31.813,-8.162,Microdiorite,Triassic,231,5,,,K-Ar,Whole Rock,Total,https://doi.org/10.1016/S1251-8050(01)01643-3,PDF Table,,,,,,,,,,,
YJ 34 WR,Western Meseta,Jebilet,Youbi et al. (2001),31.802,-8.191,Microdiorite,Triassic,231,5,,,K-Ar,Whole Rock,Total,https://doi.org/10.1016/S1251-8050(01)01643-3,PDF Table,,,,,,,,,,,
YJ 34 FDS,Western Meseta,Jebilet,Youbi et al. (2001),31.802,-8.191,Microdiorite,Triassic,216,5,,,K-Ar,Plagioclase,Total,https://doi.org/10.1016/S1251-8050(01)01643-3,PDF Table,,,,,,,,,,,
YJ 34 AMP,Western Meseta,Jebilet,Youbi et al. (2001),31.802,-8.191,Microdiorite,Permian,256,5,,,K-Ar,Hornblende,Total,https://doi.org/10.1016/S1251-8050(01)01643-3,PDF Table,,,,,,,,,,,
Tichka Rb-Sr,High Atlas,Marrakech,Gasquet et al. (1992),30.83,-8.65,Plutonic,Permian,291,5,,,Rb-Sr,Whole Rock,Isochron,https://doi.org/10.1016/0012-821X(92)90058-4,Scanned Table,,,,,,,,,,,
Tichka Sm-Nd,High Atlas,Marrakech,Gasquet et al. (1992),30.83,-8.65,Plutonic,Permian,283,24,,,Sm-Nd,Whole Rock,Isochron,https://doi.org/10.1016/0012-821X(92)90058-4,Scanned Table,,,,,,,,,,,
TM1G,Western Meseta,Zaer,Domeier et al. (2021),33.025,-5.664,Andesite,Carboniferous,305.59,2.68,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
BA1G,Western Meseta,Zaer,Domeier et al. (2021),33.673,-5.743,Andesite,Carboniferous,301.5,1.24,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
TA1G,Western Meseta,Zaer,Domeier et al. (2021),32.999,-5.685,Andesite,Permian,282.76,2.19,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
TZ1G,Western Meseta,Zaer,Domeier et al. (2021),33.148,-6.092,Andesite,Permian,267.9,3.9,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,Lowest of range of ages,,,,,,,,,,
TC1G,Western Meseta,Zaer,Domeier et al. (2021),32.926,-6.315,Andesite,Permian,295.5,3.4,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,Lowest of range of ages,,,,,,,,,,
MB2G,Western Meseta,Rehamna,Domeier et al. (2021),32.66,-7.812,Andesite,Permian,284.2,4.6,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
MB4G,Western Meseta,Rehamna,Domeier et al. (2021),32.657,-7.811,Andesite,Permian,294.63,0.67,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
NE0G,Western Meseta,Rehamna,Domeier et al. (2021),32.266,-7.651,Rhyolite,Permian,277.07,0.61,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2020.11.005,Spreadsheet,,,,,,,,,,,
G1,Western Meseta,Zaer,Hadimi et al. (2021),33.664,-6.067,Rhyolite,Permian,286.4,4.7,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.3390/min11101099,PDF Table,,,,,,,,,,,
AYJ0309,Western Meseta,Jebilet,Moutbir et al. (2024),31.87302778,-8.151055556,Gabbro,Carboniferous,343.6,2.9,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1016/j.earscirev.2024.104905,Spreadsheet,,,,,,31,52,22.9,-8,10,56.2
AYJ0109,Western Meseta,Jebilet,Moutbir et al. (2024),31.85511111,-8.133361111,Trondhjemite,Carboniferous,345.6,2.8,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1016/j.earscirev.2024.104905,Spreadsheet,,,,,,31,51,18.4,-8,9,59.9
AYJ80,Western Meseta,Jebilet,Moutbir et al. (2024),31.82143333,-8.117813889,Quartz Diorite,Carboniferous,335.8,3.3,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1016/j.earscirev.2024.104905,Spreadsheet,,,,,,31,49,17.16,-8,8,55.87
GS30,Western Meseta,Jebilet,Moutbir et al. (2024),31.79069444,-8.161663889,Mesogabbro,Carboniferous,347.1,2.9,,2sig,U-Pb,Zircon,SHRIMP,https://doi.org/10.1016/j.earscirev.2024.104905,Spreadsheet,,,,,,31,47,26.5,-8,10,18.01
TBZ,Western Meseta,Jebilet,Essaifi et al. (2003),31.85,-8.25,Felsic Rock,Carboniferous,330.5,0.68,0.83,2sig,U-Pb,Zircon,ID-TIMS,https://doi.org/10.1016/S1631-0713(03)00030-0,PDF Table,Error is only the plus,,,,,,,,,,
KH,Western Meseta,Jebilet,Delchini et al. (2018),31.899,-8.208,Felsic Rock,Carboniferous,345,2,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
