Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
JBD1 (MR24-010),,,,,,,,,,,,,,,,,,,,
MR24-10 1,337,55643,1.44,16.163,2.2,0.92346,2.7,0.108301,1.7,0.601,662.9,10.4,664.2,13.4,668.6,47.0,662.9,10.4,99.1,99.8
MR24-10 2,323,117493,1.98,9.7223,1.8,4.24827,3.1,0.299691,2.6,0.818,1689.8,38.1,1683.4,25.8,1675.4,33.3,1675.4,33.3,100.9,100.4
MR24-10 3,385,189426,2.59,16.5502,1.5,0.81152,3.1,0.097453,2.7,0.881,599.5,15.6,603.3,14.1,617.7,31.7,599.5,15.6,97.1,99.4
MR24-10 4,21257,478811,1.48,19.9247,1.8,0.14902,3.1,0.021544,2.5,0.816,137.4,3.4,141.0,4.0,202.7,41.2,137.4,3.4,67.8,97.4
MR24-10 5,1924,462345,0.61,19.8726,1.8,0.22145,2.7,0.031931,2.0,0.733,202.6,4.0,203.1,5.0,208.8,42.8,202.6,4.0,97.0,99.8
MR24-10 6,302,199167,0.91,16.6677,2.3,0.8326,3.4,0.100695,2.6,0.753,618.5,15.3,615.1,15.9,602.4,49.0,618.5,15.3,102.7,100.6
,,,,,,,,,,,,,,,,,,,,
JBD2 (MR24-012),,,,,,,,,,,,,,,,,,,,
MR24-12 1,347,147873,1.3,18.9847,2.6,0.38279,3.5,0.05273,2.3,0.664,331.3,7.5,329.1,9.8,313.8,59.6,331.3,7.5,105.6,100.7
MR24-12 2,143,22185,1.9,18.9345,5.2,0.39721,6.9,0.054572,4.5,0.657,342.5,15.1,339.6,19.9,319.8,117.9,342.5,15.1,107.1,100.9
MR24-12 3,180,88842,1.84,18.544,3.6,0.40141,5.1,0.054012,3.6,0.709,339.1,11.9,342.7,14.8,366.9,80.6,339.1,11.9,92.4,98.9
MR24-12 4,220,12362,1.56,19.4709,5.5,0.38508,6.6,0.054404,3.7,0.553,341.5,12.2,330.8,18.7,256.0,127.2,341.5,12.2,133.4,103.2
MR24-12 5,487,46999,1.2,18.6918,3.2,0.38822,3.8,0.052653,2.1,0.544,330.8,6.6,333.1,10.8,349.0,71.9,330.8,6.6,94.8,99.3
MR24-12 6,139,6174,1.69,19.5841,8.3,0.37582,8.7,0.053404,2.8,0.317,335.4,9.1,324.0,24.2,242.6,191.1,335.4,9.1,138.3,103.5
MR24-12 7,209,24924,1.6,18.9604,4.3,0.38119,5.3,0.052442,3.0,0.568,329.5,9.6,327.9,14.8,316.7,98.7,329.5,9.6,104.0,100.5
MR24-12 8,129,11103,1.59,19.3119,6.5,0.37432,7.1,0.052452,3.0,0.417,329.6,9.5,322.9,19.7,274.7,148.3,329.6,9.5,120.0,102.1
MR24-12 9,433,36877,1.83,18.8062,3.2,0.39025,4.1,0.053252,2.5,0.618,334.5,8.2,334.5,11.6,335.2,72.4,334.5,8.2,99.8,100.0
MR24-12 10,246,12128,1.55,18.9226,4.6,0.37274,5.4,0.051177,2.7,0.509,321.7,8.6,321.7,14.8,321.2,105.0,321.7,8.6,100.2,100.0
MR24-12 11,220,14243,2.04,16.9369,8.1,0.43514,8.7,0.053475,3.3,0.374,335.8,10.7,366.8,26.9,567.7,176.3,335.8,10.7,59.2,91.5
MR24-12 12,105,43565,2.14,19.7252,3.8,0.37565,6.1,0.053765,4.7,0.779,337.6,15.5,323.8,16.8,226.0,87.9,337.6,15.5,149.4,104.3
MR24-12 13,810,110318,1.04,18.6833,2.8,0.39438,3.6,0.053465,2.3,0.631,335.8,7.4,337.6,10.3,350.1,63.0,335.8,7.4,95.9,99.5
MR24-12 14,281,58293,2.08,18.9745,3.9,0.39693,4.8,0.054649,2.8,0.579,343.0,9.4,339.4,14.0,315.0,89.7,343.0,9.4,108.9,101.1
MR24-12 15,170,37112,1.68,18.6997,4.7,0.38528,5.7,0.052277,3.3,0.577,328.5,10.6,330.9,16.2,348.1,105.9,328.5,10.6,94.4,99.3
MR24-12 16,139,20568,1.66,19.1789,4.3,0.38186,5.5,0.05314,3.4,0.623,333.8,11.1,328.4,15.4,290.5,98.3,333.8,11.1,114.9,101.6
MR24-12 17,278,33389,1.38,18.9827,4.2,0.38072,4.9,0.052439,2.6,0.527,329.5,8.3,327.6,13.8,314.0,95.2,329.5,8.3,104.9,100.6
MR24-12 18,159,32729,1.87,18.5899,4.1,0.39549,5.4,0.053347,3.5,0.647,335.0,11.4,338.4,15.5,361.3,92.9,335.0,11.4,92.7,99.0
MR24-12 19,223,61186,1.67,19.2154,3.5,0.38487,5.1,0.053661,3.6,0.716,337.0,11.9,330.6,14.3,286.2,80.6,337.0,11.9,117.7,101.9
MR24-12 20,306,67856,1.31,17.6729,5.6,0.4098,6.4,0.05255,3.2,0.495,330.2,10.3,348.7,19.0,474.4,123.7,330.2,10.3,69.6,94.7
MR24-12 21,152,14225,1.46,19.1389,6.1,0.37138,7.3,0.051574,4.0,0.548,324.2,12.7,320.7,20.1,295.3,139.5,324.2,12.7,109.8,101.1
MR24-12 22,327,33748,1.48,18.6072,2.9,0.38962,4.1,0.052604,3.0,0.719,330.5,9.6,334.1,11.8,359.2,64.9,330.5,9.6,92.0,98.9
MR24-12 23,104,25946,2.4,17.9407,6.9,0.40929,7.6,0.05328,3.3,0.43,334.6,10.7,348.4,22.6,441.0,153.6,334.6,10.7,75.9,96.0
MR24-12 24,200,21845,1.72,18.7961,4.4,0.3916,5.6,0.053408,3.4,0.614,335.4,11.2,335.5,15.9,336.4,99.5,335.4,11.2,99.7,100.0
MR24-12 25,207,14004,1.3,19.0284,4.2,0.38496,5.5,0.053151,3.6,0.652,333.8,11.8,330.7,15.7,308.5,95.7,333.8,11.8,108.2,100.9
MR24-12 26,152,61932,1.91,18.8599,4.3,0.38963,5.4,0.053319,3.3,0.602,334.9,10.6,334.1,15.4,328.7,98.1,334.9,10.6,101.9,100.2
MR24-12 27,342,198559,1.64,18.9535,2.7,0.39301,3.5,0.054049,2.2,0.642,339.3,7.4,336.6,10.0,317.5,61.0,339.3,7.4,106.9,100.8
MR24-12 28,443,20066,1.1,18.8955,3.2,0.38821,4.4,0.053226,3.1,0.692,334.3,10.0,333.1,12.6,324.5,72.9,334.3,10.0,103.0,100.4
MR24-12 29,292,144911,1.36,19.1073,3.8,0.38294,4.6,0.053091,2.5,0.553,333.5,8.2,329.2,12.9,299.1,87.2,333.5,8.2,111.5,101.3
MR24-12 30,304,9123,1.65,19.2184,3.5,0.38019,4.4,0.053016,2.6,0.596,333.0,8.5,327.2,12.3,285.8,81.0,333.0,8.5,116.5,101.8
MR24-12 31,247,41957,1.7,18.8098,3.3,0.38569,4.8,0.05264,3.4,0.716,330.7,11.0,331.2,13.4,334.8,75.2,330.7,11.0,98.8,99.8
MR24-12 32,528,22189,1.44,19.0648,3.3,0.38131,4.1,0.052748,2.4,0.586,331.4,7.7,328.0,11.4,304.1,75.1,331.4,7.7,109.0,101.0
MR24-12 33,152,108701,1.86,18.9963,4.9,0.39644,6.7,0.054643,4.5,0.678,343.0,15.2,339.1,19.3,312.4,112.2,343.0,15.2,109.8,101.2
MR24-12 34,274,276474,1.37,18.5424,2.9,0.39545,4.4,0.053205,3.2,0.737,334.2,10.5,338.3,12.6,367.1,66.4,334.2,10.5,91.0,98.8
MR24-12 35,306,70836,1.44,18.7932,3.1,0.39252,3.6,0.053525,1.8,0.515,336.1,6.0,336.2,10.2,336.8,69.2,336.1,6.0,99.8,100.0
MR24-12 36,227,23261,1.43,18.7111,4.0,0.38861,5.9,0.052761,4.4,0.743,331.5,14.3,333.4,16.9,346.7,89.9,331.5,14.3,95.6,99.4
MR24-12 37,355,29802,1.2,18.5002,3.1,0.38713,4.5,0.051967,3.3,0.736,326.6,10.6,332.3,12.9,372.2,69.2,326.6,10.6,87.7,98.3
MR24-12 38,150,405885,1.75,18.7746,5.0,0.4011,6.1,0.054641,3.5,0.577,343.0,11.7,342.4,17.7,339.0,112.4,343.0,11.7,101.2,100.2
MR24-12 39,259,13974,1.79,17.2685,9.3,0.42016,10.2,0.052646,4.3,0.421,330.7,13.9,356.2,30.7,525.4,203.4,330.7,13.9,62.9,92.8
MR24-12 40,196,14067,1.83,18.9598,4.5,0.38917,5.5,0.053539,3.0,0.555,336.2,9.9,333.8,15.5,316.7,103.1,336.2,9.9,106.2,100.7
MR24-12 41,203,91607,1.25,18.8949,3.9,0.39278,5.0,0.05385,3.1,0.625,338.1,10.2,336.4,14.2,324.5,87.8,338.1,10.2,104.2,100.5
